calories,carbs,protein,total_fat,sat_fat,trans_fat,sodium,sugar,fiber,,,,,
450,50,17,21,8,0,1310,5,4,,,,,
350,38,19,13,3.5,0,860,7,2,chickenminis(4count),,,,
300,31,25,7,3,0,970,1,1,eggwhitegrill,,,,
420,40,15,21,11,0,1240,1,2,baconegg&cheesebiscuit,,,,
600,41,20,40,18,0,1520,1,3,sausageegg&cheesebiscuit,,,,
680,50,35,38,12,0,1680,1,5,chickenhashbrownscrambleburrito,,,,
670,46,26,42,15,0,1410,1,5,sausagehashbrownscrambleburrito,,,,
460,21,31,29,9,0,1220,1,4,chickenhashbrownscramblebowl,,,,
450,16,21,33,11,0,960,1,3,sausagehashbrownscramblebowl,,,,
300,31,16,12,5,0,710,1,1,baconegg&cheesemuffin,,,,
490,32,20,30,12,0,990,1,2,sausageegg&cheesemuffin,,,,
480,51,27,18,5,0,1310,8,3,chickenegg&cheesebagel,,,,
240,22,3,16,1.5,0,360,0,4,hashbrowns,,,,
440,40,28,19,4,0,1350,5,2,chickfilachickensandwich,,,,
500,42,31,23,7,0,1590,6,3,chickfiladeluxesandwich,,,,
450,41,29,19,4,0,1620,5,1,spicychickensandwich,,,,
540,43,34,25,8,0,1760,6,2,chickfilaspicydeluxesandwich,,,,
130,5,14,6,1.5,0,490,0,1,chickfilaÅlanuggets(4count),,,,
190,7,21,9,2,0,730,0,1,chickfilaÅlanuggets(6count),,,,
260,9,28,12,2.5,0,980,0,1,chickfilanuggets(8count),,,,
390,14,41,18,4,0,1460,1,2,chickfilanuggets(12count),,,,
120,7,9,6,1,0,310,1,0,chickenstrips(1count),,,,
230,14,19,11,2,0,620,2,1,chickenstrips(2count),,,,
350,22,28,17,3,0,940,3,1,chickenstrips(3count),,,,
470,29,37,23,4,0,1250,4,1,chickenstrips(4count),,,. ,
310,36,29,6,2,0,820,7,3,grilledchickensandwich,,,,
430,36,37,16,8,0,1120,7,3,grilledchickenclubsandwich,,,,
70,1,13,2,0.5,0,220,0,0,grillednuggets(4count),,,,
110,2,19,2.5,1,0,330,0,0,grillednuggets(6count),,,,
140,2,25,3.5,1,0,440,0,0,grillednuggets(8count),,,,
210,3,38,5,2,0,670,1,0,grillednuggets(12count),,,,
350,29,37,14,5,0,960,3,15,grilledchickencoolwrap,,,,
200,15,25,6,2.5,0,650,8,4,grilledmarketsalad,,,,
330,26,27,15,3.5,0,690,12,6,grilledmarketsalad ,,,,
430,22,39,21,7,0,1290,5,5,cobbsalad,,,,
510,28,40,27,7,0,1360,6,6,cobbsalad  ,,,,
290,27,29,8,4,0,970,7,8,spicysouthwestsalad,,,,
450,37,34,19,6,0,1070,8,10,spicysouthwestsalad  ,,,,
360,43,5,18,2,0,280,0,5,fries(med),,,,
460,56,6,24,2.5,0,370,0,7,fries(lg),,,,
45,12,0,0,0,0,0,9,2,fruitcup(med),,,,
80,20,1,0,0,0,0,15,4,fruitcup(lg),,,,
230,28,12,9,3.5,0,85,21,2,greekyogurtparfaitgranola,,,,
210,26,11,8,3.5,0,95,21,1,greekyogurtparfait ookiecrumbs,,,,
150,18,3,9,1,0,180,12,2,superfoodside  (sm),,,,
90,15,2,2.5,0,0,180,11,2,superfoodsidenotoppings (sm),,,,
190,25,4,9,1,0,250,18,3,superfoodside  (lg),,,,
130,23,3,3.5,0.5,0,250,16,2,superfoodsidenotoppings (lg),,,,
80,6,5,4.5,3,0,110,3,3,sidesaladnotoppings,,,,
160,12,6,11,3.5,0,180,3,3,sidesalad  ,,,,
130,15,9,3.5,1,0,990,1,2,chickensoup(sm),,,,
240,29,18,6,2.5,0,1920,2,3,chickensoup(lg),,,,
500,67,11,21,13,0,370,66,0,vanillamilkshake(sm),,,,
620,86,15,25,15,0,470,85,0,vanillamilkshake(lg),,,,
560,82,12,22,13,0,380,79,1,chocolatemilkshake(sm),,,,
720,108,15,26,15,0,480,105,1,chocolatemilkshake(lg),,,,
570,85,12,21,13,0,380,77,1,strawberrymilkshake(sm),,,,
720,113,15,25,15,0,480,101,1,strawberrymilkshake(lg),,,,
590,81,12,25,14,0,440,74,1,cookies&creammilkshake(sm),,,,
750,107,16,31,17,0,580,97,1,cookies&creammilkshake(lg),,,,
170,31,5,4,2,0,115,25,0,icedreamcone(sm),,,,
260,45,7,6,3.5,0,170,38,0,icedreamcone(lg),,,,
290,50,8,7,4.5,0,200,49,0,icedreamcup(sm),,,,
360,61,10,9,5,0,240,60,0,icedreamcup(lg),,,,
350,50,4,16,9,0,240,30,2,chocolatechunkcookie,,,,
330,65,6,6,3.5,0,160,63,0,frostedlemonade(sm),,,,
410,80,8,7,4,0,200,78,0,frostedlemonade(lg),,,,
250,45,6,6,3.5,0,160,43,0,frostedlemonade(sm)dietlemonade,,,,
310,56,8,7,4,0,200,53,0,frostedlemonade(lg)dietlemonade,,,,
240,41,7,6,3.5,0,160,38,0,frostedcoffee(sm),,,,
300,51,8,7,4,0,200,48,0,frostedcoffee(lg),,,,
220,58,0,0,0,0,10,55,0,lemonade(med),,,,
300,78,0,0,0,0,15,74,0,lemonade(lg),,,,
50,14,0,0,0,0,10,9,0,dietlemonade(med),,,,
70,21,0,0,0,0,15,14,0,dietlemonade(lg),,,,
120,31,0,0,0,0,10,31,0,sweetenedicedtea(med),,,,
170,43,0,0,0,0,10,43,0,sweetenedicedtea(lg),,,,
0,0,0,0,0,0,10,0,0,unsweetenedicedtea(med),,,,
0,0,0,0,0,0,10,0,0,unsweetenedicedtea(lg),,,,
190,54,0,0,0,0,60,54,0,cocacolaclassic(med),,,,
310,86,0,0,0,0,100,86,0,cocacolaclassic(lg),,,,
150,26,5,2.5,1.5,0,70,25,0,originalcoldbrewicedcoffee(sm),,,,
180,33,6,3,2,0,85,31,0,originalcoldbrewicedcoffee(lg),,,,
160,30,5,2.5,1.5,0,70,28,0,vanillacoldbrewicedcoffee(sm),,,,
200,38,6,3,2,0,85,35,0,vanillacoldbrewicedcoffee(lg),,,,
60,15,0,0,0,0,10,14,1,cinnamonapplesauce,,,,
35,8,0,0,0,0,0,6,1,fruitcup(sm),,,,
280,33,4,14,1.5,0,220,0,4,fries(sm),,,,
35,9,0,0,0,0,15,9,0,applejuice(sm),,,,
90,11,7,2,1.5,0,95,11,0,milk,,,,
150,25,7,2.5,2,0,170,23,1,chocolatemilk,,,,
