FOOD,CALORIES,CARBS (G),PROTEIN (G),TOTAL FAT (G),SATURATED FAT (G),TRANS FAT (G),SODIUM (MG),SUGARS (G),FIBER (G)
Burger Toppings,,,,,,,,,
Mushrooms,5,1,0,0,0,0,55,1,0
Green Peppers,5,1,0,0,0,0,1,<1,<1
Onions,10,2,0,0,0,0,1,1,<1
Jalapenos,3,<1,0,0,0,0,0,0,0
Lettuce,4,1,0,0,0,0,3,<1,<1
Tomatoes,9,2,<1,0,0,0,3,1,<1
Mayonnaise,100,0,0,11,1.5,0,70,0,0
Heinz Ketchup,20,5,0,0,0,0,160,4,0
A1 Original Steak Sauce,15,3,0,0,0,0,280,2,0
Cattlemen's BBQ Sauce,60,15,<1,0,0,0,400,10,<1
French's Yellow Mustard,0,0,0,0,0,0,55,0,0
Frank's Original Hot Sauce,0,0,0,0,0,0,200,0,0
Mt. Olive Special Sweet Green Relish,15,4,0,0,0,0,85,3,0
Mt. Olive Fresh Kosher Dill Pickles,5,1,0,0,0,0,260,0,0
Little Burger Toppings,,,,,,,,,
Mushrooms,5,1,0,0,0,0,55,1,0
Green Peppers,5,1,0,0,0,0,1,<1,<1
Onions,10,2,0,0,0,0,1,1,<1
Jalapenos,3,<1,0,0,0,0,0,0,0
Lettuce,4,1,0,0,0,0,3,<1,<1
Tomatoes,9,2,<1,0,0,0,3,1,<1
Mayonnaise,100,0,0,11,1.5,0,70,0,0
Heinz Ketchup,20,5,0,0,0,0,160,4,0
A1 Original Steak Sauce,15,3,0,0,0,0,280,2,0
Cattlemen's BBQ Sauce,60,15,<1,0,0,0,400,10,<1
French's Yellow Mustard,0,0,0,0,0,0,55,0,0
Frank's Original Hot Sauce,0,0,0,0,0,0,200,0,0
Mt. Olive Special Sweet Green Relish,15,4,0,0,0,0,85,3,0
Mt. Olive Fresh Kosher Dill Pickles,5,1,0,0,0,0,260,0,0
French Fries Toppings,,,,,,,,,
Mayonnaise,100,0,0,11,1.5,0,70,0,0
Heinz Ketchup,20,5,0,0,0,0,160,4,0
Cattlemen's BBQ Sauce,60,15,<1,0,0,0,400,10,<1
French's Yellow Mustard,0,0,0,0,0,0,55,0,0
Frank's Original Hot Sauce,0,0,0,0,0,0,200,0,0
